un1,un2,un3,un4,un5,un6,line
"0","964526","32496","0","3","-15","116.3920740897604700 39.9918633355849240 -15.0000000000000000, 116.3922847685848400 39.9917925562390050 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3922847685848400 39.9917925562390050 -15.0000000000000000, 116.3923072832657700 39.9917840482638600 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3923072832657700 39.9917840482638600 -15.0000000000000000, 116.3923057158093000 39.9917711434920590 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3922847685848400 39.9917925562390050 -15.0000000000000000, 116.3922796845100200 39.9917798579731070 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3923057158093000 39.9917711434920590 -15.0000000000000000, 116.3925082988867500 39.9917070874400340 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925082988867500 39.9917070874400340 -15.0000000000000000, 116.3925605376321200 39.9916893831171410 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925082988867500 39.9917070874400340 -15.0000000000000000, 116.3925123446773400 39.9917200388012760 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925123446773400 39.9917200388012760 -15.0000000000000000, 116.3925356074149100 39.9917132760134990 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925605376321200 39.9916893831171410 -15.0000000000000000, 116.3925621457365900 39.9914504145094300 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925621457365900 39.9914504145094300 -15.0000000000000000, 116.3925847863449800 39.9914503276863730 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925847863449800 39.9914503276863730 -15.0000000000000000, 116.3925843855872000 39.9914787806034580 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925621457365900 39.9914504145094300 -15.0000000000000000, 116.3925647721227800 39.9913167980535960 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925647721227800 39.9913167980535960 -15.0000000000000000, 116.3925732399743000 39.9913068339874510 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925732399743000 39.9913068339874510 -15.0000000000000000, 116.3925752133517200 39.9912488641186880 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925752133517200 39.9912488641186880 -15.0000000000000000, 116.3925753220202600 39.9911034911096830 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925752133517200 39.9912488641186880 -15.0000000000000000, 116.3925450821311400 39.9912489911963150 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925450821311400 39.9912489911963150 -15.0000000000000000, 116.3925450821311400 39.9912209841563350 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925753220202600 39.9911034911096830 -15.0000000000000000, 116.3925895092640300 39.9910817241350000 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925895092640300 39.9910817241350000 -15.0000000000000000, 116.3925891378163200 39.9910489922092370 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925891378163200 39.9910489922092370 -15.0000000000000000, 116.3925885465244200 39.9910296085037590 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925885465244200 39.9910296085037590 -15.0000000000000000, 116.3925881587937900 39.9909937241473370 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925881587937900 39.9909937241473370 -15.0000000000000000, 116.3925690994694700 39.9909937241473370 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925690994694700 39.9909937241473370 -15.0000000000000000, 116.3925691896366000 39.9909349622769100 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925691896366000 39.9909349622769100 -15.0000000000000000, 116.3925556159962300 39.9909352349272210 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925556159962300 39.9909352349272210 -15.0000000000000000, 116.3925556159962300 39.9909486102185950 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925885465244200 39.9910296085037590 -15.0000000000000000, 116.3926133153625000 39.9910284965967970 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3926133153625000 39.9910284965967970 -15.0000000000000000, 116.3926988755207800 39.9910290841472930 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3925891378163200 39.9910489922092370 -15.0000000000000000, 116.3926130507657300 39.9910481488081330 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3926130507657300 39.9910481488081330 -15.0000000000000000, 116.3926130507657300 39.9911640786867860 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3926130507657300 39.9910481488081330 -15.0000000000000000, 116.3926967758669400 39.9910486508045720 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905020324006500 39.9921500646466940 -15.0000000000000000, 116.3905065173228200 39.9918525986027480 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905065173228200 39.9918525986027480 -15.0000000000000000, 116.3904978668903900 39.9918525986027480 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904978668903900 39.9918525986027480 -15.0000000000000000, 116.3904978668903900 39.9918404661521190 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905065173228200 39.9918525986027480 -15.0000000000000000, 116.3905114839687100 39.9915781772007650 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905114839687100 39.9915781772007650 -15.0000000000000000, 116.3904986227436400 39.9915780857700510 -15.0000000000000000"
